item_nr,condition,text,corr_ans,snd,ZipfSUBTLEX,word_len
1,word,Akzente,ralt,0.716402757,2.71,7
1,pseudoword,Unwante,lalt,0.533781958,NA,7
2,word,Drücker,ralt,0.573048782,3.01,7
2,pseudoword,quokker,lalt,0.551131332,NA,7
3,word,Erwachsener,ralt,0.680948019,3.95,11
3,pseudoword,Exzingsener,lalt,0.532463276,NA,11
4,word,Exorzisten,ralt,0.623507822,2.64,10
4,pseudoword,ucinzisten,lalt,0.417058688,NA,10
5,word,Fabel,ralt,0.634384477,2.6,5
5,pseudoword,Pafel,lalt,0.551999414,NA,5
6,word,Faulpelze,ralt,0.589460897,2.74,9
6,pseudoword,peigpelze,lalt,0.577798259,NA,9
7,word,Figuren,ralt,0.730129063,4.38,7
7,pseudoword,Gowuren,lalt,0.53986125,NA,7
8,word,Filigrane,ralt,0.674997497,1.9,9
8,pseudoword,Gisiblase,lalt,0.531504357,NA,9
9,word,Geschicke,ralt,0.451256502,2.07,9
9,pseudoword,neschonke,lalt,0.476581311,NA,9
10,word,Gondel,ralt,0.694788933,3.11,6
10,pseudoword,pändel,lalt,0.468501526,NA,6
11,word,Grabens,ralt,0.703054309,1.9,7
11,pseudoword,Phabert,lalt,0.460215503,NA,7
12,word,Jugendfreund,ralt,0.694240987,2.55,12
12,pseudoword,Kugendfrophs,lalt,0.463993698,NA,12
13,word,Kanaille,ralt,0.623363382,2.44,8
13,pseudoword,Kahästle,lalt,0.550209415,NA,8
14,word,Kanäle,ralt,0.73131119,3.59,6
14,pseudoword,Gamäse,lalt,0.56966846,NA,6
15,word,Kollegium,ralt,0.680746281,2.67,9
15,pseudoword,Toffegizu,lalt,0.588650703,NA,9
16,word,Konstitution,ralt,0.588135254,2.83,12
16,pseudoword,Rabphimution,lalt,0.649005258,NA,12
17,word,Kontoauszug,ralt,0.755376232,2.29,11
17,pseudoword,pontoaantut,lalt,0.525864321,NA,11
18,word,Kreuzzug,ralt,0.672394693,3.21,8
18,pseudoword,Kräppzug,lalt,0.583889222,NA,8
19,word,Lobpreisung,ralt,0.640077615,1.9,11
19,pseudoword,Lobgliegung,lalt,0.486394,NA,11
20,word,Maulwurf,ralt,0.609543204,3.68,8
20,pseudoword,Maumburg,lalt,0.665408969,NA,8
21,word,Media,ralt,0.637564588,4.3,5
21,pseudoword,Tebio,lalt,0.506248027,NA,5
22,word,Miene,ralt,0.595580208,3.29,5
22,pseudoword,Tieme,lalt,0.585215425,NA,5
23,word,Modepuppe,ralt,0.685251129,2.2,9
23,pseudoword,kidefutwe,lalt,0.439427841,NA,9
24,word,Mühle,ralt,0.743901169,3.55,5
24,pseudoword,Märle,lalt,0.591288447,NA,5
25,word,Nachmittagen,ralt,0.765295422,2.07,12
25,pseudoword,Pachtaftagen,lalt,0.556234384,NA,12
26,word,Parzellen,ralt,0.72211796,2.07,9
26,pseudoword,ponzellen,lalt,0.553810191,NA,9
27,word,Pocken,ralt,0.610133934,3.07,6
27,pseudoword,dükken,lalt,0.551630604,NA,6
28,word,Rasters,ralt,0.633602393,2.37,7
28,pseudoword,Hasteln,lalt,0.557052696,NA,7
29,word,Rechtswissenschaft,ralt,0.722630167,2.07,18
29,pseudoword,Rechtsfissenstrent,lalt,0.534953153,NA,18
30,word,Röntgen,ralt,0.650586128,3.53,7
30,pseudoword,Räckgen,lalt,0.448012614,NA,7
31,word,Satz,ralt,0.708425581,4.42,4
31,pseudoword,zatz,lalt,0.419138974,NA,4
32,word,Schwiegertochter,ralt,0.725625575,3.53,16
32,pseudoword,schreigerlächter,lalt,0.484830129,NA,16
33,word,Skonto,ralt,0.677569234,2.07,6
33,pseudoword,Knolto,lalt,0.544492257,NA,6
34,word,Sorge,ralt,0.68719815,5.24,5
34,pseudoword,Horke,lalt,0.592052579,NA,5
35,word,Sowjetbürger,ralt,0.636015654,2.07,12
35,pseudoword,fopfeträrger,lalt,0.539491999,NA,12
36,word,Staubwolke,ralt,0.638836157,2.37,10
36,pseudoword,Steibholne,lalt,0.593118393,NA,10
37,word,Straßenmädchen,ralt,0.605639708,2.67,14
37,pseudoword,spraxenwäschen,lalt,0.486053854,NA,14
38,word,Symptom,ralt,0.71904794,3.85,7
38,pseudoword,Sönttom,lalt,0.498119754,NA,7
39,word,Sägewerk,ralt,0.735312772,2.64,8
39,pseudoword,Vägevenk,lalt,0.534688544,NA,8
40,word,Tonabnehmer,ralt,0.810567856,1.9,11
40,pseudoword,ponaobeumer,lalt,0.609617484,NA,11
41,word,Touristen,ralt,0.765337527,3.81,9
41,pseudoword,Mexristen,lalt,0.504592544,NA,9
42,word,Treter,ralt,0.571155679,2.5,6
42,pseudoword,bretes,lalt,0.565206933,NA,6
43,word,Ungetüme,ralt,0.634616613,1.9,8
43,pseudoword,Abgegöbe,lalt,0.61381005,NA,8
44,word,Vereinfachung,ralt,0.701250005,2.2,13
44,pseudoword,Verausgapunkt,lalt,0.509430546,NA,13
45,word,Vertragsabschlüssen,ralt,0.692905676,1.9,19
45,pseudoword,Rerstiktabschlössen,lalt,0.501733893,NA,19
46,word,Vollbesitz,ralt,0.489019817,2.07,10
46,pseudoword,Vestbesice,lalt,0.551657438,NA,10
47,word,Vorbereitungen,ralt,0.722549272,3.88,14
47,pseudoword,Monbetierungen,lalt,0.516626251,NA,14
48,word,Wasserbetten,ralt,0.673340225,2.71,12
48,pseudoword,dössermatten,lalt,0.531297195,NA,12
49,word,Wäscheklammer,ralt,0.675662398,2.29,13
49,pseudoword,gäschephirmer,lalt,0.575656688,NA,13
50,word,Würstchen,ralt,0.760876834,4.02,9
50,pseudoword,Bünktchen,lalt,0.585379231,NA,9
51,word,Zinnsoldat,ralt,0.567274106,2.2,10
51,pseudoword,Perrsoldat,lalt,0.57698921,NA,10
52,word,absichtlichen,ralt,0.723148096,2.2,13
52,pseudoword,anhangslichen,lalt,0.535225427,NA,13
53,word,addierst,ralt,0.743336785,2.29,8
53,pseudoword,aifierst,lalt,0.521725905,NA,8
54,word,allwissend,ralt,0.602098978,2.74,10
54,pseudoword,artkossend,lalt,0.490403616,NA,10
55,word,angegriffen,ralt,0.737051761,4.56,11
55,pseudoword,angeträrken,lalt,0.516563213,NA,11
56,word,angezogen,ralt,0.667931736,4.34,9
56,pseudoword,abbekägen,lalt,0.575243092,NA,9
57,word,ansehen,ralt,0.648019361,4.88,7
57,pseudoword,abbeßen,lalt,0.50747261,NA,7
58,word,antaten,ralt,0.580164683,2.92,7
58,pseudoword,abhiten,lalt,0.47716738,NA,7
59,word,armes,ralt,0.663890052,4.04,5
59,pseudoword,alnes,lalt,0.469844961,NA,5
60,word,auf,ralt,0.652615035,6.75,3
60,pseudoword,auz,lalt,0.440744013,NA,3
61,word,aufeinanderprallen,ralt,0.668586433,2.07,18
61,pseudoword,auseinanterchinnen,lalt,0.492230016,NA,18
62,word,auffälliges,ralt,0.769738305,2.96,11
62,pseudoword,aushürliges,lalt,0.622539055,NA,11
63,word,auflasen,ralt,0.600738239,1.9,8
63,pseudoword,aussaden,lalt,0.490748477,NA,8
64,word,aufschrecken,ralt,0.65842067,2.37,12
64,pseudoword,ausschwikken,lalt,0.549666524,NA,12
65,word,aufspielt,ralt,0.690909433,2.6,9
65,pseudoword,aufgleilt,lalt,0.525075734,NA,9
66,word,aufwendig,ralt,0.820446587,2.5,9
66,pseudoword,aufnendöl,lalt,0.465618825,NA,9
67,word,ausdenkt,ralt,0.683212984,2.71,8
67,pseudoword,aufdergt,lalt,0.492457569,NA,8
68,word,baufälliges,ralt,0.715339005,2.29,11
68,pseudoword,haukirliges,lalt,0.635348833,NA,11
69,word,befolgen,ralt,0.707167137,4,8
69,pseudoword,benäugen,lalt,0.502902263,NA,8
70,word,behinderten,ralt,0.719258654,3.21,11
70,pseudoword,vezönlerten,lalt,0.525143671,NA,11
71,word,beliebteren,ralt,0.671942127,1.9,11
71,pseudoword,beseimgeren,lalt,0.458517349,NA,11
72,word,berauschten,ralt,0.673044777,1.9,11
72,pseudoword,begeichsten,lalt,0.627708566,NA,11
73,word,beschämen,ralt,0.632651818,2.85,9
73,pseudoword,besprofen,lalt,0.498969811,NA,9
74,word,bewachten,ralt,0.688096869,2.85,9
74,pseudoword,behockten,lalt,0.500945795,NA,9
75,word,deinem,ralt,0.792192662,5.5,6
75,pseudoword,Neimem,lalt,0.493154615,NA,6
76,word,doch,ralt,0.81157186,6.39,4
76,pseudoword,dogt,lalt,0.460582709,NA,4
77,word,dunkle,ralt,0.763926494,4.15,6
77,pseudoword,bumsge,lalt,0.532441747,NA,6
78,word,durchquerten,ralt,0.690926373,2.5,12
78,pseudoword,Durchszelten,lalt,0.567181563,NA,12
79,word,einfachsten,ralt,0.714423549,3.45,11
79,pseudoword,einpellsten,lalt,0.528488863,NA,11
80,word,eintreffe,ralt,0.626991701,2.44,9
80,pseudoword,einspipfe,lalt,0.514454842,NA,9
81,word,endgültig,ralt,0.716964746,3.99,9
81,pseudoword,emptöltig,lalt,0.459221238,NA,9
82,word,entgegenkommende,ralt,0.647050738,1.9,16
82,pseudoword,itzgegerfonwende,lalt,0.508424914,NA,16
83,word,entschärft,ralt,0.700551403,3.34,10
83,pseudoword,entschühmt,lalt,0.524676692,NA,10
84,word,ergiebigen,ralt,0.649699736,1.9,10
84,pseudoword,erdaukegen,lalt,0.4964679,NA,10
85,word,erschrickt,ralt,0.648402715,3.34,10
85,pseudoword,erschwillt,lalt,0.616641712,NA,10
86,word,erziehst,ralt,0.675532889,2.2,8
86,pseudoword,erweihst,lalt,0.512310541,NA,8
87,word,ferneren,ralt,0.664823401,1.9,8
87,pseudoword,Cermelen,lalt,0.547745383,NA,8
88,word,festzumachen,ralt,0.655507326,2.5,12
88,pseudoword,Hahnzusachen,lalt,0.480557173,NA,12
89,word,fickst,ralt,0.675550199,3.45,6
89,pseudoword,feckst,lalt,0.533325112,NA,6
90,word,fixiert,ralt,0.696961915,3.5,7
90,pseudoword,riviert,lalt,0.55903973,NA,7
91,word,fortbleiben,ralt,0.519034863,2.29,11
91,pseudoword,lollspeiben,lalt,0.484508455,NA,11
92,word,füttere,ralt,0.697100365,3.41,7
92,pseudoword,räntere,lalt,0.622529292,NA,7
93,word,garstiges,ralt,0.768539953,2.44,9
93,pseudoword,wafspiges,lalt,0.618503904,NA,9
94,word,gefallen,ralt,0.712761152,5.3,8
94,pseudoword,werillen,lalt,0.439982468,NA,8
95,word,gesprochen,ralt,0.716793025,5,10
95,pseudoword,peschüchen,lalt,0.485065168,NA,10
96,word,gleichwertig,ralt,0.694522297,2.71,12
96,pseudoword,Klauchrertig,lalt,0.538042843,NA,12
97,word,haltmachen,ralt,0.593686169,2.29,10
97,pseudoword,höfflachen,lalt,0.535349011,NA,10
98,word,hinlege,ralt,0.625598741,2.67,7
98,pseudoword,horfege,lalt,0.430730736,NA,7
99,word,hört,ralt,0.714347351,5.42,4
99,pseudoword,hößt,lalt,0.554995298,NA,4
100,word,interpretiert,ralt,0.742924559,3.29,13
100,pseudoword,indergnetauts,lalt,0.441017032,NA,13
101,word,jahrelanges,ralt,0.744626141,2.6,11
101,pseudoword,Jespelanges,lalt,0.564003372,NA,11
102,word,kaufte,ralt,0.760769594,4.06,6
102,pseudoword,Sauste,lalt,0.544531,NA,6
103,word,konsolidieren,ralt,0.647947478,1.9,13
103,pseudoword,lenmalimieren,lalt,0.451512522,NA,13
104,word,kreiere,ralt,0.666568506,2.67,7
104,pseudoword,greaade,lalt,0.563510931,NA,7
105,word,lateinamerikanischer,ralt,0.635430396,1.9,20
105,pseudoword,seteinagelesenischem,lalt,0.534829271,NA,20
106,word,lebenslänglich,ralt,0.666841328,3.77,14
106,pseudoword,lebensrorgtich,lalt,0.536178195,NA,14
107,word,lediglich,ralt,0.731211412,4.07,9
107,pseudoword,ledighens,lalt,0.549951482,NA,9
108,word,letzten,ralt,0.808082604,5.33,7
108,pseudoword,fitzten,lalt,0.589393055,NA,7
109,word,naturalistischen,ralt,0.696525192,2.29,16
109,pseudoword,paxudotikrischen,lalt,0.476925135,NA,16
110,word,niedergezwungen,ralt,0.630297649,2.29,15
110,pseudoword,quaserbesprugen,lalt,0.474359632,NA,15
111,word,niederzuhalten,ralt,0.680038226,1.9,14
111,pseudoword,beiderzubinten,lalt,0.520156759,NA,14
112,word,offiziellem,ralt,0.680060244,2.07,11
112,pseudoword,oßmiziivsem,lalt,0.332735133,NA,11
113,word,parfümiert,ralt,0.746942973,2.64,10
113,pseudoword,Nonfümiert,lalt,0.493812156,NA,10
114,word,rasselt,ralt,0.647674942,2.2,7
114,pseudoword,messelt,lalt,0.585215318,NA,7
115,word,reparierten,ralt,0.688229907,2.6,11
115,pseudoword,nezolierten,lalt,0.540671349,NA,11
116,word,schlaksigen,ralt,0.74982971,1.9,11
116,pseudoword,schwagrigen,lalt,0.560658514,NA,11
117,word,schwindelte,ralt,0.650927246,1.9,11
117,pseudoword,schrordelte,lalt,0.502665842,NA,11
118,word,schönste,ralt,0.791224122,4.22,8
118,pseudoword,schirste,lalt,0.540490365,NA,8
119,word,schüchternste,ralt,0.595844984,1.9,13
119,pseudoword,Schöchteckste,lalt,0.493256676,NA,13
120,word,siegle,ralt,0.517011929,1.9,6
120,pseudoword,seifle,lalt,0.516792643,NA,6
121,word,sogleich,ralt,0.747510064,2.94,8
121,pseudoword,sopfeibt,lalt,0.591355515,NA,8
122,word,spuckten,ralt,0.681197321,2.44,8
122,pseudoword,Spruntet,lalt,0.504870999,NA,8
123,word,strammen,ralt,0.657628512,2.6,8
123,pseudoword,Sprommen,lalt,0.54930234,NA,8
124,word,sympathisierst,ralt,0.583870649,2.2,14
124,pseudoword,nippakrisierst,lalt,0.43464576,NA,14
125,word,telepathischen,ralt,0.747115076,2.29,14
125,pseudoword,Sevewoknischen,lalt,0.59323585,NA,14
126,word,undurchdringbar,ralt,0.65268904,2.37,15
126,pseudoword,untrunkspahmbar,lalt,0.495473158,NA,15
127,word,ungesetzlich,ralt,0.556002092,2.83,12
127,pseudoword,ungesegthent,lalt,0.452197164,NA,12
128,word,verantwortungsvollen,ralt,0.72677933,2.2,20
128,pseudoword,veragsweugungsßillen,lalt,0.560947418,NA,20
129,word,vergeltet,ralt,0.610385835,2.07,9
129,pseudoword,verligtet,lalt,0.502154523,NA,9
130,word,verkürzen,ralt,0.712891173,3.01,9
130,pseudoword,vertolzen,lalt,0.5054497,NA,9
131,word,verschmutzen,ralt,0.707729888,2.74,12
131,pseudoword,berschlußven,lalt,0.613263178,NA,12
132,word,versteigere,ralt,0.642413676,1.9,11
132,pseudoword,berfrietere,lalt,0.448880869,NA,11
133,word,verzeichnet,ralt,0.700290322,3.19,11
133,pseudoword,verteilsket,lalt,0.519063044,NA,11
134,word,verzieren,ralt,0.726322174,2.5,9
134,pseudoword,verkauben,lalt,0.581959188,NA,9
135,word,vorschriftswidrig,ralt,0.603169775,2.2,17
135,pseudoword,vorschrenntgadrig,lalt,0.533974218,NA,17
136,word,wahnsinnig,ralt,0.844770455,4.55,10
136,pseudoword,wondrinnig,lalt,0.472315401,NA,10
137,word,wegkomme,ralt,0.685696149,2.85,8
137,pseudoword,weutamme,lalt,0.444938064,NA,8
138,word,wissenschaftlicheren,ralt,0.760855126,2.07,20
138,pseudoword,mempenschelllicheren,lalt,0.463042045,NA,20
139,word,wunderbaren,ralt,0.876461458,3.87,11
139,pseudoword,Vuljerwagen,lalt,0.584726,NA,11
140,word,wundersamer,ralt,0.683977854,2.29,11
140,pseudoword,Austerbafer,lalt,0.616272354,NA,11
141,word,wunderschöne,ralt,0.883150077,4.16,12
141,pseudoword,pulderstrüse,lalt,0.551503754,NA,12
142,word,zackiger,ralt,0.667318928,2.2,8
142,pseudoword,zürgiger,lalt,0.608068025,NA,8
143,word,zerrinnen,ralt,0.612505531,1.9,9
143,pseudoword,zerfanken,lalt,0.532811725,NA,9
144,word,zeugt,ralt,0.653093374,3.3,5
144,pseudoword,zeggt,lalt,0.50368759,NA,5
145,word,zuflüstern,ralt,0.720845735,2.64,10
145,pseudoword,umdröstern,lalt,0.484966379,NA,10
146,word,zurechtgebogen,ralt,0.625797224,2.07,14
146,pseudoword,zunandsgewägen,lalt,0.393707126,NA,14
147,word,zurückgeschreckt,ralt,0.664730155,1.9,16
147,pseudoword,zurichgeschrafst,lalt,0.428763491,NA,16
148,word,überbelegt,ralt,0.624682212,2.2,10
148,pseudoword,iberfenerb,lalt,0.467337263,NA,10
149,word,überlebensgroße,ralt,0.756840742,1.9,15
149,pseudoword,überlefätsglave,lalt,0.631505394,NA,15
150,word,überlisten,ralt,0.647439587,3.33,10
150,pseudoword,otertesten,lalt,0.61830591,NA,10
